Name,Alternative name,Alternative name,WHO Region,continent,Country Code,Cases - cumulative total,Cases - cumulative total per 100000 population,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Government Type,Capital City,Latitude of Capital,Longitude of Capital,GDP - real growth rate,GDP - per capita (PPP),Industrial production growth rate,Unemployment rate,Distribution of family income - Gini index,Taxes and other revenues,Budget surplus (+) or deficit (-),Public debt,Inflation rate (consumer prices),Central bank discount rate,Commercial bank prime lending rate,Military expenditures,Median age,Population growth rate,Birth rate,Death rate,Net migration rate,Maternal mortality rate,Infant mortality rate,Life expectancy at birth,Total fertility rate,Obesity - adult prevalence rate,Education expenditures,"Unemployment, youth ages 15-24",year,life_exp,hdi_index,co2_consump,gdp,services,happiness_score,gdp_per_capita,cpi_corruption_score,health,freedom,generosity,government_trust,dystopia_residual,Year,social_support,abstainers lifetime Both sexes,abstainers lifetime Male,abstainers lifetime Female,abstainers 12m Both sexes,abstainers 12m Male,abstainers 12m Female,consumers 12m,consumers 12m Male,consumers 12m Female,heavy both,heavy male,heavy female,alcohol death both,alcohol death Male,alcohol death female,alcohol cancer death Male,alcohol cancer death Female,alcohol liver cirrhosis death Male,alcohol liver cirrhosis death Female,alcohol traffic death Male,alcohol traffic death Female,Alcohol-attributable Years of Life Lost (YLL) score,consumption Both sexes,consumption Male,consumption Female,consumption drinkers Both sexes,consumption drinkers Male,consumption drinkers Female
Seychelles,,,Africa,,SC,50068,50909.535,171,173.874,republic,Victoria,4 37 S,55 27 E,5.3,"$29,300 ",2.3,3,46.8,39.6,-0.5,63.6,2.9,11.17,12.24,1.44,35.8,0.74,13.4,7,1,unknown,9.7,75.2,1.85,14,4.4,10.9,,,,,,,,,,,,,,,,,23.2,12.7,33.8,45.1,31.3,59.1,54.9,68.7,40.9,26 [23.6-28.3],40.8 [37.5-43.9],10.5 [9.1-12.2],8.6,12.8,2.8,10.7,2,77.1,54.2,40.2,37.9,4,20.5 [21.2-27.2],32 [33.1-42.8],9.5 [9.6-12.5],21 [22.4-],27.6 [29.5-],9.7 [10.3-]
Sierra Leone,,,Africa,Africa,SL,7759,97.267,125,1.567,constitutional democracy,Freetown,8 29 N,13 14 W,3.7,"$1,600 ",15.5,15,34,15.6,-7.9,63.9,18.2,unknown,17.92,0.8,19.1,2.4,36,10.2,-1.8,"1,120",66.7,59,4.69,8.7,4.6,9.4,2018,61.2,0.447,0.141,630,38,3.926399946,0.240560383,33,0.203953966,0.382027686,0.257647008,0.047940936,2.046271801,2020,0.747984946,63.5,52.1,74.6,69.1,56.9,80.8,30.9,43.1,19.2,12 [10.8-13.2],21 [19.1-22.8],3.4 [2.9-3.9],4.6,7.1,2,7.2,2.5,61.8,35.7,26.9,18.7,5,5.7 [4.4-7.1],9.9 [7.6-12.2],1.6 [1.4-2.3],17.2 [19-],21.2 [23.5-],8 [8.8-]
Singapore,,,Western Pacific,Asia,SG,2166527,37032.485,1703,29.109,parliamentary republic,Singapore,1 17 N,103 51 E,3.6,"$94,100 ",5.7,2.2,45.9,15.7,-0.3,111.1,0.6,2.15,5.28,3.3,34.9,1.79,8.7,3.5,12.7,8,2.3,85.5,0.84,6.1,2.9,9.1,2018,84.7,0.936,7.1,61100,84,6.377099991,1.519580126,85,1.137814283,0.635317206,0.218770906,0.533162236,0.937031746,2020,1.39545691,6.7,3.1,10.2,30,18.3,41.2,70,81.7,58.8,32.2 [26.8-37.6],49.2 [42.2-55.7],15.5 [11.7-19.9],2.4,3.5,1.2,4.2,1.5,30.3,34.9,39.8,30.6,1,2 [1.8-2.8],3.1 [2.7-4.3],1 [0.9-1.4],2.8 [3-],3.9 [4.2-],1.4 [1.5-]
Sint Eustatius,,,Americas,,,1206,38419.879,5,159.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sint Maarten,,,Americas,,,10954,25544.518,89,207.546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,,Slovak Republic,Europe,Europe,SK,1855953,34005.06,20733,379.873,parliamentary democracy,Bratislava,48 09 N,17 07 E,3.4,"$33,100 ",2.7,8.1,23.7,39.4,-1,50.9,1.3,0,2.44,1.74,41,-0.02,9.6,9.9,0.1,5,5,77.4,1.42,20.5,3.9,18.9,2018,77.5,0.858,6.61,17700,61.2,6.280600071,1.194837689,49,0.853465259,0.423542529,0.116729774,0.011291441,2.256422043,2020,1.424331188,11.6,5.6,17.4,30.8,18.4,42.3,71.3,82.9,60,39.2 [35.9-42.4],57.5 [53.7-61],21.3 [18.5-24.3],8.3,12.9,3.2,11.8,3.3,77.5,62,48.1,36.2,4,11.1 [10.6-13.9],17.4 [16.8-22],5.4 [4.9-6.5],16 [17.1-],22.3 [23.8-],7.7 [8.2-]
Slovenia,,,Europe,Europe,SI,1258446,60044.345,8564,408.615,parliamentary republic,Ljubljana,46 03 N,14 31 E,5,"$34,500 ",8.6,6.6,24.4,43.1,0,73.6,1.4,0,2.59,1.04,44.2,0.03,9.2,9.9,1,7,1.6,81.2,1.58,20.2,4.8,11.2,2018,81.4,0.912,6.95,23500,61.2,6.363399982,1.208652496,60,0.932548046,0.646700144,0.145701498,0.076516323,1.888586521,2020,1.464677691,67.7,55,80.6,28.7,17.1,40,13.5,19.7,7.3,42.3 [39-45.6],60.3 [56.6-63.7],23.7 [20.7-26.9],8,12.7,3.5,8.3,3.3,78.1,62.5,50.1,33.9,3,11.9 [10-13.8],18.4 [15.6-21.3],5.6 [4.7-6.5],17 [18.1-],23.7 [25.2-],8.1 [8.7-]
Solomon Islands,,,Western Pacific,Oceania,SB,24575,3577.751,153,22.275,parliamentary democracy,Honiara,9 26 S,159 57 E,3.5,"$2,200 ",3.6,unknown,unknown,41,-2.9,9.4,0.5,unknown,10.7,unknown,22.8,1.9,24.5,3.8,-1.7,104,14.3,75.8,3.09,22.5,9.9,1.3,2018,59,0.564,0.273,2320,50.5,,,,,,,,,,,97.1,95.5,98.7,86.5,80.3,92.7,0.7,1.1,0.3,7.8 [7.2-8.3],13.2 [12.4-14],2.4 [2.1-2.7],2.1,2.9,1.1,2.9,0.8,27.3,16.2,16.7,11,2,1.8 [1.3-2.5],3 [2.2-4.1],0.6 [0.5-0.9],9.6 [10.4-],11.5 [12.6-],4.3 [4.7-]
Somalia,,,Eastern Mediterranean,,SO,27286,171.683,1361,8.563,in the process of building a federal parliamentary republic,Mogadishu,2 04 N,45 20 E,2.3,unknown,3.5,unknown,unknown,2.1,-0.1,76.7,1.5,unknown,unknown,unknown,18.2,2.08,39.3,12.8,-5.6,829,93,53.2,5.7,8.3,unknown,unknown,,,,,,,,,,,,,,,,,53.5,38.3,68,99.3,98.9,99.7,31,43.2,19.4,0 [0-0.1],0.1 [0.1-0.1],0 [0-0],0.2,0.3,0.1,0.8,0.1,7.4,2.3,0.1,0.1,1,0 [0-0.1],0 [0-0.2],0 [0-0],1.2 [1.4-],1.4 [1.7-],0.5 [0.6-]
South Africa,,,Africa,Africa,ZA,4040980,6813.47,102428,172.703,republic,Pretoria,25 42 S,28 13 E,1.3,"$13,600 ",1.2,27.5,62.5,26.6,-4.4,53,5.3,5.75,10.38,0.98,27.4,0.97,19.9,9.3,-0.9,119,29.9,64.1,2.26,28.3,6.2,53.4,2018,64.4,0.707,8.1,5640,71.7,4.814099789,0.902140439,44,0.407034069,0.43478182,0.126406848,0.05950214,1.625117302,2020,1.259086251,,,,69,56.8,80.6,,,,17.7 [16.2-19.1],29.3 [27.2-31.1],6.6 [5.7-7.6],6.4,10,2.2,7.7,2.8,69.5,43.4,33.9,25.2,5,9.5 [8.1-11],15.9 [13.5-18.5],3.5 [2.8-4],28.9 [31.2-],36.2 [39.1-],13.2 [14.3-]
South Sudan,,,Africa,Africa,SS,18350,163.931,138,1.233,republic,Juba,04 51 N,31 37 E,-5.2,"$1,600 ",unknown,unknown,46,8.5,-1.3,62.7,187.9,unknown,13.38,1.33,18.1,-1.16,36.9,19.3,-29.2,"1,150",90.4,unknown,5.34,6.6,1,38.6,2018,63,0.429,0.171,,22.8,,,,,,,,,,,.,.,.,No data,53.2,No data,.,.,.,.,.,.,3,4.5,1.3,5.4,1.5,49.4,30.1,24.1,17.2,4,,,,,,
Spain,,,Europe,Europe,ES,13595504,28723.332,115901,244.865,parliamentary monarchy,Madrid,40 24 N,3 41 W,3,"$38,400 ",4,17.2,35.9,37.9,-3.1,98.4,2,0.05,2.03,0.92,43.1,0.73,9,9.2,7.5,4,3.3,81.8,1.5,23.8,4.2,38.6,2018,83.1,0.905,5.75,27700,75.5,6.400899887,1.230535269,62,1.051343083,0.425983816,0.16530548,0.109579779,1.997088432,2020,1.421099186,13.6,6.6,20.1,31.4,19.1,43,68.6,80.9,57,29.7 [27.3-32],45.8 [42.7-48.8],13.5 [12-15.2],4.3,6.7,1.8,8.3,3.9,73.8,56.3,39.6,28.3,2,12.7 [11.4-15],20.1 [18.1-23.8],5.8 [5.1-6.6],13.7 [14.7-],19.1 [20.5-],6.6 [7-]
Sri Lanka,,,South-East Asia,Asia,LK,671671,3136.708,16802,78.465,republic,Colombo,6 55 N,79 50 E,3.3,"$12,900 ",4.6,4.4,39.2,13.8,-5.5,79.1,6.5,7.25,11.6,1.89,33.1,0.73,14.8,6.3,-1.3,36,8.2,77.1,2.05,5.2,2.8,21,2018,77.2,0.779,1.1,4160,46.6,4.327000141,0.897986948,38,0.792036712,0.528632462,0.252666146,0.049444564,0.611288548,2020,1.19494009,48.3,32.6,62.4,71.3,59.4,82.1,28.7,40.6,17.9,9.7 [8.7-10.7],17.3 [15.7-19],2.6 [2.3-3],4.6,7.5,1.1,5.2,0.9,56.7,28.2,21.2,11.7,3,4.1 [3.1-5.3],6.8 [5.2-8.9],1.7 [1.2-2],13.9 [15.3-],17.7 [19.5-],6.3 [6.9-]
Sudan,,,Eastern Mediterranean,Africa,SD,63637,145.127,4990,11.38,"federal republic ruled by the National Congress Party (NCP), which seized power by military coup in 1989; the CPA-mandated Government of National Unity",Khartoum,15 36 N,32 32 E,1.4,"$4,300 ",4.5,19.6,unknown,18.5,-10.6,121.6,32.4,unknown,13,2.28,17.9,2.93,34.2,6.7,1.9,295,44.2,65.8,4.85,6.6,2.2,20,2018,70.1,0.506,0.504,2100,43.8,,,,,,,,,,,95.2,92.7,97.8,97.7,96.6,98.9,2.3,3.4,1.1,0.4 [0.3-0.5],0.7 [0.5-0.9],0.1 [0-0.1],0.7,1.1,0.3,1.4,0.2,17.8,4.8,2,1.4,1,0.5 [0.1-1.1],0.9 [0.2-1.9],0.1 [0-0.3],18 [21.9-],21.2 [25.8-],7.9 [9.6-]
Suriname,,,Americas,South America,SR,81228,13846.5,1392,237.287,constitutional democracy,Paramaribo,5 50 N,55 10 W,1.9,"$14,900 ",1,8.9,unknown,16.4,-7.8,69.3,22,10,14.43,unknown,30.2,1,15.6,6.1,0.5,120,23.7,72.8,1.9,26.4,unknown,13.4,2018,72.6,0.734,3.1,9020,67.6,,,,,,,,,,,34.1,20.7,47.4,57.8,44.2,71.3,42.2,55.8,28.7,18.9 [17-20.7],31.1 [28.4-33.8],6.5 [5.6-7.6],5,7.7,1.5,4.1,1.4,56.1,34.4,33.9,17.9,4,5.3 [4.4-6.5],8.5 [7.1-10.3],2.2 [1.8-2.7],12.2 [13.1-],15.6 [16.7-],5.6 [6-]
Sweden,,,Europe,Europe,SE,2626686,25433.681,21034,203.668,constitutional monarchy,Stockholm,59 20 N,18 03 E,2.1,"$51,200 ",4.1,6.7,24.9,50.6,1.3,40.8,1.9,-0.5,1.93,1.04,41.1,0.8,12.1,9.4,5.3,4,2.6,82.2,1.87,20.6,7.7,17.9,2018,82.7,0.943,4.12,53000,80.1,7.353499889,1.322235227,85,0.986470461,0.650297701,0.272827893,0.442066371,2.246299267,2020,1.433347702,11.6,5.7,17.5,27,16.1,37.8,73,83.9,62.2,32.4 [30-34.9],48.9 [45.7-52],15.5 [13.8-17.4],3.6,5.8,1.5,6,2.3,70.3,56.4,42.5,28.6,2,8.9 [7.6-10.4],13.7 [11.7-16.1],4.2 [3.6-4.9],12 [12.9-],16.6 [17.9-],5.8 [6.3-]
Switzerland,,,Europe,Europe,CH,4317048,49881.439,13737,158.725,formally a confederation but similar in structure to a federal republic,Bern,46 55 N,7 28 E,1.7,"$62,100 ",3.4,3.2,29.5,35.7,1.1,41.8,0.5,0.5,2.6,0.68,42.5,0.68,10.5,8.4,4.6,5,3.6,82.7,1.56,19.5,5.1,8.1,2018,83.9,0.955,4.33,88000,76.5,7.559899807,1.39077425,85,1.040533185,0.62895447,0.269055754,0.407945901,2.35026741,2020,1.472403407,7.5,3.5,11.4,18.8,10.4,27,81.2,89.6,73,39.9 [37-42.8],57.7 [54.3-61],22 [19.5-24.6],4.5,7,2.2,7,3.7,74.9,63.3,45.3,31.3,2,11.5 [8-11.3],17.7 [12.4-17.3],5.6 [3.8-5.4],13.6 [14.3-],19.4 [20.4-],6.7 [7.1-]
Syrian Arab Republic,Syria,,Eastern Mediterranean,,SY,57397,327.971,3163,18.074,republic under an authoritarian regime,Damascus,33 30 N,36 18 E,-36.5,"$2,900 ",4.3,50,unknown,4.2,-8.7,94.8,28.1,0.75,14,unknown,24.5,7.37,20.7,4,57,31,14.4,75.2,2.44,27.8,5.1,35.8,,,,,,,,,,,,,,,,,97.7,96.2,99.2,98,96.6,99.3,2,3.4,0.7,0 [0-0.1],0.1 [0.1-0.1],0 [0-0],0.1,0.2,0.1,0.7,0.1,7.6,1.2,1.1,0.7,1,0.2 [0.2-0.6],0.4 [0.3-1],0.1 [0-0.2],25.6 [28-],30 [32.9-],11.1 [12.2-]
T?rkiye,Turkey,,Europe,Asia,TR,16919638,20061.448,101203,119.995,republican parliamentary democracy,Ankara,39 56 N,32 52 E,7.4,"$27,000 ",9.1,10.9,40.2,20.3,-1.5,28.3,11.1,5.25,15.77,1.89,31.4,0.49,15.4,6,-4.5,17,16.9,75.3,2,32.1,4.3,20.5,2018,78.1,0.817,5.2,12000,54.9,5.131800175,1.127169251,40,0.781335294,0.25440076,0.085885569,0.120983243,1.564816713,2020,1.197159171,89.1,82.7,95.1,93.1,89,97,6.9,11,3,1.5 [1.2-1.9],2.9 [2.2-3.6],0.2 [0.2-0.3],1.4,2.1,0.5,1.5,0.3,37.2,10.9,7.1,3.5,1,2.1 [1.6-2.9],3.6 [2.9-5.2],0.6 [0.4-0.8],24.8 [27.3-],29 [31.9-],10.4 [11.4-]
Tajikistan,,,Europe,Asia,TJ,17786,186.482,125,1.311,republic,Dushanbe,38 33 N,68 46 E,7.1,"$3,200 ",1,2.4,32.6,31.8,-1.5,50.4,7.3,16,30,1.22,24.8,1.58,22.8,5.9,-1.1,17,30.8,68.4,2.59,14.2,5.2,16.7,2018,69.2,0.661,0.603,1120,38.8,5.555699825,0.474874616,25,0.680594802,0.521141171,0.182417125,0.221779913,2.25650835,2020,1.218377709,53.8,39.1,68.6,79.3,70.4,88.2,20.7,29.6,11.8,7.9 [7.2-8.7],13.9 [12.6-15.2],2 [1.7-2.3],5.3,7.3,2.9,6.6,1.5,60.5,29.8,18.8,11,3,3.3 [2.1-4.5],5.6 [3.5-7.7],1 [0.6-1.4],15 [17.5-],18.3 [21.3-],6.8 [7.9-]
Thailand,,,South-East Asia,Asia,TH,4707244,6743.905,33180,47.536,constitutional monarchy,Bangkok,13 45 N,100 31 E,3.9,"$17,900 ",1.6,0.7,44.5,15.2,-3.5,41.9,0.7,1.5,4.42,1.33,38.1,0.29,11,8.1,0,37,9,75.1,1.52,10,4.1,3.7,2018,78.3,0.772,4.15,6490,45.1,5.998799801,1.007029295,36,0.793855846,0.609449804,0.376709014,0.031837862,1.832384109,2020,1.347519517,34.5,20.8,47.6,59.1,45.4,72.3,40.9,54.6,27.7,16.8 [15.3-18.4],28.4 [26-30.7],5.6 [4.8-6.4],7.4,11.3,2.4,8.4,2.6,71.1,43.6,34.1,15.3,4,8.3 [12.9-16.8],13.4 [21.1-27.5],3.5 [5.2-6.9],19.6 [21.1-],25.3 [27.2-],8.8 [9.5-]
The United Kingdom,United Kingdom,,Europe,Europe,GB,24000101,35353.533,196821,289.929,constitutional monarchy,London,51 30 N,0 05 W,1.7,"$44,300 ",3.4,4.4,32.4,39.1,-1.9,87.5,2.7,0.25,4.38,2.14,40.5,0.51,12,9.4,2.5,7,4.2,80.9,1.88,27.8,5.5,12.1,2018,81,0.928,5.65,46200,80.8,7.164500237,1.273061037,77,0.97570008,0.525168657,0.373433441,0.322601646,2.236721992,2020,1.457844973,11,5.3,16.4,26.6,15.7,37,73.4,84.3,63,33.7 [31.2-36.2],50.9 [47.7-53.9],16.7 [14.9-18.7],4.6,6.9,2.5,8,4.1,77,63.4,43.8,32.2,2,11.5 [8.9-12],17.8 [13.9-18.8],5.4 [4.1-5.5],14.7 [15.5-],20.7 [21.8-],7.3 [7.7-]
Timor-Leste,,,South-East Asia,Asia,TL,23343,1770.495,138,10.467,republic,Dili,8 35 S,125 36 E,-4.6,"$6,000 ",2,4.4,31.9,10.8,-75.7,3.8,0.6,unknown,13.29,0.61,19.1,2.32,32.9,5.8,-3.9,142,33.9,68.7,4.67,3.8,3.8,13.2,2018,70.5,0.599,0.412,1230,45.1,,,,,,,,,,,58,43.7,72.6,78.4,69.4,87.6,21.6,30.6,12.4,6.5 [5.8-7.2],11.3 [10.2-12.6],1.4 [1.2-1.7],2.9,4.4,0.9,1.4,0.4,34.4,18.6,12.7,8.3,3,2.2 [1.2-3.2],3.4 [1.9-5],0.9 [0.5-1.3],9 [10.5-],10.9 [12.7-],4.1 [4.8-]
Togo,,,Africa,Africa,TG,39328,475.049,290,3.503,republic under transition to multiparty democratic rule,Lome,6 07 N,1 13 E,4.4,"$1,700 ",5,6.9,46,21.5,-3.8,75.7,-0.7,2.5,5.3,1.97,19.9,2.61,32.8,6.8,0,396,40.8,65.8,4.32,8.4,5,3.9,2018,64.5,0.51,0.434,613,47.4,4.187200069,0.268116266,29,0.342731178,0.303539038,0.200774252,0.114826456,2.409595251,2020,0.547622859,69.9,59.7,79.7,74.3,63.5,84.8,25.7,36.5,15.2,8.8 [7.9-9.8],15.7 [14.2-17.3],2.2 [1.9-2.6],2.7,4.1,1.2,4.5,1.2,43.7,22.6,19.1,12.8,4,2.5 [1.7-3.3],3.9 [2.7-5.3],1 [0.7-1.4],11.5 [12.9-],14.2 [15.9-],5.3 [5.9-]
Tokelau,,,Western Pacific,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,,,Western Pacific,Oceania,TO,16182,15310.09,12,11.353,constitutional monarchy,Nuku'alofa,21 08 S,175 12 W,2.5,"$5,900 ",5,1.1,unknown,39.8,0,48,7.4,unknown,8,unknown,23.3,-0.1,21.8,4.9,-17.9,52,10.9,76.6,3.03,48.2,unknown,unknown,2018,72.9,0.723,1.31,4680,49.9,,,,,,,,,,,66.4,53,79.4,85.8,79.1,92.3,14.2,20.9,7.7,8.5 [7.9-9.1],14.4 [13.6-15.2],2.7 [2.3-3],1.7,2.5,0.9,2.9,1.4,30,16.5,17.4,11.2,1,0.8 [0.7-2],1.3 [1.2-3.4],0.3 [0.3-0.7],9.7 [10.9-],11.8 [13.2-],4.4 [4.9-]
Trinidad and Tobago,,,Americas,North America,TT,185237,13236.055,4266,304.826,parliamentary democracy,Port of Spain,10 39 N,61 31 W,-2.6,"$31,300 ",-4.3,4.9,unknown,24.5,-8.2,41.8,1.9,6.75,9,0.78,36.6,-0.23,12.3,8.9,-5.8,67,21.6,73.4,1.7,18.6,unknown,7.1,2018,74.8,0.795,31.3,16500,70,,,,,,,,,,,20.5,10.8,29.7,41.3,27.5,54.4,58.7,72.5,45.6,31 [28.3-33.6],47.8 [44.4-51],14.5 [12.5-16.6],4.8,8.6,0.2,4.4,2,69,50.8,44.8,30.3,4,6.7 [5.7-8],10.6 [9-12.6],3 [2.5-3.5],14 [14.9-],18.8 [20-],6.6 [7-]
Tunisia,,,Eastern Mediterranean,Africa,TN,1147072,9705.635,29268,247.643,republic,Tunis,36 48 N,10 11 E,2,"$11,900 ",0.5,15.5,40,24.7,-5.8,70.3,5.3,5.75,7.31,2.09,32,0.95,17.4,6.4,-1.6,43,11.7,75.9,2.17,26.9,6.6,34.7,2018,77.5,0.738,2.73,3950,52.3,4.392199993,0.874742687,44,0.781156719,0.235860556,0.055881143,0.043899573,1.528496742,2020,0.872167706,91.3,85.5,96.8,94.8,91.1,98.4,5.2,8.9,1.6,1.1 [0.9-1.5],2.2 [1.7-2.8],0.1 [0.1-0.1],1.4,2.1,0.6,1.4,0.2,33,8,5.8,3.7,1,2.1 [1.8-3.2],3.8 [3.3-5.7],0.6 [0.5-0.8],33.4 [36.8-],37.2 [40.9-],13.2 [14.6-]
Turkmenistan,,,Europe,Asia,TM,0,0,0,0,secular democracy,Ashgabat,37 57 N,58 23 E,6.5,"$18,200 ",1,11,40.8,14.9,-2.8,28.8,8,5,19,unknown,28.3,1.1,18.9,6.1,-1.8,7,33.1,70.7,2.06,18.6,3.1,unknown,2018,70.6,0.71,13.7,7350,38.9,5.119100094,1.008963585,19,0.612448037,0.515236676,0.323129326,0.03350389,1.115337372,2020,1.510476947,41.6,26.8,55.6,69.6,57.5,81,30.4,42.5,19,13.3 [12.2-14.5],23 [21.3-24.8],4.1 [3.6-4.7],9.3,12.6,5,10.5,2.4,69,38.8,31,22.9,5,4.9 [3.8-6.1],8.4 [6.6-10.5],1.7 [1.2-2],17.4 [19.2-],21.9 [24.1-],7.9 [8.7-]
Turks and Caicos Islands,,,Americas,,,6446,16648.587,36,92.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,Western Pacific,,TV,2710,22981.682,0,0,parliamentary democracy,Funafuti,8 31 S,179 13 E,3.2,"$3,800 ",-26.1,unknown,unknown,106.7,25.6,37,4.1,unknown,10.6,unknown,26,0.86,23.7,8.4,-6.6,unknown,28.2,67.2,2.93,51.6,unknown,20.6,,,,,,,,,,,,,,,,,66.4,53,79.5,85.6,78.9,92.2,14.4,21.1,7.8,8.4 [7.8-8.9],14.2 [13.4-15],2.6 [2.3-3],No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,1.5 [1-2.1],2.5 [1.7-3.5],0.5 [0.4-0.7],11.1 [12.1-],13.4 [14.6-],4.9 [5.4-]
Uganda,,,Africa,Africa,UG,169638,370.866,3630,7.936,republic,Kampala,0 19 N,32 33 E,4.8,"$2,400 ",4.4,9.4,39.5,14.5,-4.1,40,5.6,9,21.28,1.43,15.9,3.18,42.4,9.9,-0.7,375,54.6,56.3,5.62,5.3,2.6,14.8,2018,65.7,0.538,0.135,872,21,4.43200016,0.312337428,27,0.378311664,0.401682556,0.264807373,0.063818842,1.958671093,2020,1.052327394,47.4,32.5,62,63.7,50.9,76.2,36.3,49.1,23.8,19.4 [18.1-20.7],31.9 [30-33.6],7.2 [6.4-8.1],6.5,9.4,3,8.4,3.1,70.4,47.2,37,24.3,5,15.1 [12.3-17.9],24.6 [20.2-29.4],5.9 [4.7-6.8],25.4 [27.3-],31.9 [34.2-],12.1 [13-]
Ukraine,,,Europe,Europe,UA,5336293,12201.771,110505,252.677,republic,Kyiv,50 26 N,30 31 E,2.5,"$8,800 ",3.1,9.2,25.5,26.6,-1.5,71,14.4,22,16.38,3.78,40.8,0.04,10.1,14.3,4.6,19,7.7,72.4,1.55,24.1,5.4,23,2018,73.9,0.774,5.09,3110,61,4.56069994,0.780434608,33,0.698674381,0.319423705,0.178551316,0.00965116,1.252669334,2020,1.321316481,12.7,9.8,15,38.2,31.3,43.9,61.8,68.7,56.1,20.2 [16.8-24],31.6 [26.7-36.6],9.5 [7.4-12.1],20.5,21.2,19.8,11.6,4.6,51.6,58.4,44.8,43.4,5,8.3 [6.9-10],14 [11.9-17.4],3.7 [2.7-4],21.1 [23.2-],27.8 [30.6-],9.6 [10.5-]
United Arab Emirates,,,Eastern Mediterranean,Asia,AE,1044189,10557.599,2348,23.74,federation with specified powers delegated to the UAE federal government and other powers reserved to member emirates,Abu Dhabi,24 28 N,54 22 E,0.8,"$68,600 ",1.8,1.6,unknown,28.8,-0.2,19.7,2,unknown,6,5.7,37.2,1.44,9.8,1.7,6.3,3,5.5,78.7,1.73,31.7,unknown,7.7,2018,73.7,0.889,21.4,39700,63.9,6.790800095,1.431086421,71,0.787814438,0.652936101,0.28065598,0.220213518,2.166965961,2020,1.251170993,70.6,65.4,87.3,81.5,78.3,92.1,18.5,21.7,7.9,6.4 [5.2-7.8],8.2 [6.6-9.8],0.9 [0.7-1.3],3.5,4.1,1.2,2.6,0.7,42.7,20,14.1,6.2,1,3.9 [3-5.4],4.9 [3.2-5.8],0.8 [2.2-4.4],18.7 [21.1-],20 [22.5-],7 [7.9-]
United Republic of Tanzania,Tanzania,,Africa,Africa,TZ,40656,68.061,845,1.415,republic,Dar es Salaam,6 48 S,39 17 E,6,"$3,200 ",12,10.3,37.6,15.2,-1.8,37,5.3,8.25,17.62,1.21,17.9,2.74,35.3,7.5,-0.5,524,38.7,63.1,4.71,8.4,3.4,3.9,2018,66.7,0.524,0.222,959,27.9,3.476200104,0.457163125,38,0.442677855,0.509343088,0.27154091,0.203880861,0.718963385,2020,0.872674644,47.1,32.2,61.6,63.6,50.7,76,36.4,49.3,24,19.4 [18.1-20.7],31.9 [30.1-33.7],7.2 [6.4-8.1],7.3,10.9,3.1,8.6,2.3,69.7,45.8,35.8,25.4,5,11.3 [9.2-13.4],18.8 [15.5-22.4],4.1 [3.2-4.7],24.7 [27.1-],31.2 [34.2-],11.7 [12.8-]
United States of America,United States,,Americas,North America,US,97329491,29404.445,1069757,323.187,constitution-based federal republic; strong democratic tradition,"Washington, DC",38 53 N,77 02 W,2.2,"$59,800 ",2.3,4.4,45,17,-3.4,78.8,2.1,0.5,4.1,3.42,38.2,0.8,12.4,8.2,3.8,19,5.7,80.1,1.87,36.2,5,8.6,2018,79,0.925,16.6,59800,78.8,6.939599991,1.37398684,67,0.831618011,0.534608245,0.298143059,0.152284741,2.344124794,2020,1.404786706,9.2,4.4,13.8,28.3,17,39.3,71.7,83,60.7,29 [26.4-31.7],44.7 [41.2-48.2],13.1 [11.4-15],4.9,7.5,2.1,7,2.6,74.1,59.2,42.5,25,3,9.9 [8.2-10.9],15.3 [12.8-17],4.6 [3.8-5.1],13.2 [13.9-],18.4 [19.4-],6.5 [6.8-]
United States Virgin Islands,,,Americas,,,23509,22512.808,124,118.746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,,,Americas,South America,UY,993875,28611.176,7537,216.971,constitutional republic,Montevideo,34 51 S,56 10 W,2.7,"$22,400 ",-3.6,7.6,41.6,29.8,-3.5,65.7,6.2,9,13.83,1.95,35.1,0.27,13,9.4,-0.9,17,8.1,77.6,1.79,27.9,4.9,24.8,2018,77.5,0.816,2.01,16000,72.4,6.440100193,1.071000457,71,0.856928885,0.59426707,0.132143691,0.193425074,2.167276382,2020,1.425081134,6,2.7,9,31.1,18.7,42.4,68.9,81.3,57.6,24.9 [20.7-29.3],39.7 [33.7-45.7],10.5 [8.1-13.5],3.9,7,0.9,5.6,2.2,74.4,57,41,22.5,3,6.9 [6.1-8.3],10.8 [9.6-13.3],3.4 [2.8-3.9],15.4 [16.4-],21.4 [22.9-],7.6 [8.1-]
